Screenshot NO.,Game Type,Match ID,対戦日時,Game Duration,Riot ID,Champion,Team,勝敗,Kills,Deaths,Assists,Damage to Champs,Gold
9,カスタム,不明,不明,14:50,剛野やうじ,サイオン,Blue,敗北,0,3,0,6036,4253
9,カスタム,不明,不明,14:50,千盤,パンテオン,Blue,敗北,0,5,0,2419,4315
9,カスタム,不明,不明,14:50,shakech,シヴィア,Blue,敗北,0,1,0,3920,4629
9,カスタム,不明,不明,14:50,rnea,ブラウム,Blue,敗北,0,3,0,2799,3246
9,カスタム,不明,不明,14:50,OwO,ジリアン,Red,勝利,2,0,4,5612,4368
9,カスタム,不明,不明,14:50,野生のアルファ,オリアナ,Red,勝利,3,0,3,10830,5829
9,カスタム,不明,不明,14:50,なぎさっちゅ,カイ＝サ,Red,勝利,2,0,3,4168,5725
9,カスタム,不明,不明,14:50,kinako,ジン,Red,勝利,3,0,4,6037,4037
9,カスタム,不明,不明,14:50,mittiii,モルデカイザー,Red,勝利,4,0,2,15041,6281
10,カスタム,不明,不明,28:56,教祖,ブラウム,Blue,敗北,2,3,1,6644,7380
10,カスタム,不明,不明,28:56,若干アワーズ,ヨネ,Blue,敗北,0,3,0,15250,9848
10,カスタム,不明,不明,28:56,Lagusa,セジュアニ,Blue,敗北,0,4,2,8715,8832
10,カスタム,不明,不明,28:56,名誉の人,ジグス,Blue,敗北,1,4,1,16337,9122
10,カスタム,不明,不明,28:56,うたいめいか,ジャックス,Blue,敗北,0,2,1,11338,9099
10,カスタム,不明,不明,28:56,kinako,ウーコン,Red,勝利,5,1,10,22589,12311
10,カスタム,不明,不明,28:56,なぎさっちゅ,ダイアナ,Red,勝利,4,2,6,16516,12253
10,カスタム,不明,不明,28:56,mietiii,カサディン,Red,勝利,4,0,2,19394,10899
10,カスタム,不明,不明,28:56,野生のアルファ,カサガス,Red,勝利,3,0,9,26225,11180
10,カスタム,不明,不明,28:56,OwO,レル,Red,勝利,0,0,11,7613,7227
11,カスタム,不明,不明,30:21,教祖,レオナ,Blue,勝利,0,2,15,5742,7850
11,カスタム,不明,不明,30:21,Lagusa,ジリアン,Blue,勝利,7,1,11,29531,13721
11,カスタム,不明,不明,30:21,名誉の人,ジンクス,Blue,勝利,5,2,7,14521,12044
11,カスタム,不明,不明,30:21,うたいめいか,レネクトン,Blue,勝利,1,0,12,21265,11361
11,カスタム,不明,不明,30:21,若干アワーズ,ビクター,Blue,勝利,9,0,4,23980,12813
11,カスタム,不明,不明,30:21,syaruru,クレッド,Red,敗北,0,4,2,22774,8722
11,カスタム,不明,不明,30:21,チョゴチュジャン,コーキ,Red,敗北,0,8,4,8086,8567
11,カスタム,不明,不明,30:21,とおこ,スキルダー,Red,敗北,2,3,2,17058,9976
11,カスタム,不明,不明,30:21,乾伸一郎,カサディン,Red,敗北,3,3,0,20468,9555
11,カスタム,不明,不明,30:21,たかスぺ,ブラウム,Red,敗北,0,4,5,7004,6477
12,カスタム,不明,不明,36:00,OwO,セナ,Blue,敗北,0,5,3,14306,9023
12,カスタム,不明,不明,36:00,なぎさっちゅ,ケイトリン,Blue,敗北,2,6,2,16824,12228
12,カスタム,不明,不明,36:00,kinako,ドクター・ムンド,Blue,敗北,1,5,4,19024,10854
12,カスタム,不明,不明,36:00,mittiii,グラガス,Blue,敗北,0,5,1,14628,11077
12,カスタム,不明,不明,36:00,野生のアルファ,アジール,Blue,敗北,2,4,2,20998,12957
12,カスタム,不明,不明,36:00,チョゴチュジャン,ヴィエゴ,Red,勝利,12,1,4,24042,17721
12,カスタム,不明,不明,36:00,乾伸一郎,ガリオ,Red,勝利,4,2,13,22373,13061
12,カスタム,不明,不明,36:00,syaruru,レネクトン,Red,勝利,5,1,7,30321,16991
12,カスタム,不明,不明,36:00,とおこ,リリア,Red,勝利,1,0,18,22839,12932
12,カスタム,不明,不明,36:00,たかスぺ,ノーチラス,Red,勝利,3,1,17,15564,10341
13,カスタム,不明,不明,31:07,猫きんぐだむ,ジン・ジャオ,Blue,勝利,5,1,11,12983,12603
13,カスタム,不明,不明,31:07,しろまんた,ブラウム,Blue,勝利,2,1,12,4742,8236
13,カスタム,不明,不明,31:07,誕生日は5月5日です,ハイマーディンガー,Blue,勝利,1,1,10,22477,10765
13,カスタム,不明,不明,31:07,みみたや,アッシュ,Blue,勝利,6,1,5,12801,13683
13,カスタム,不明,不明,31:07,Toy Story,セト,Blue,勝利,3,1,6,18489,12630
13,カスタム,不明,不明,31:07,ramuchi,アフェリオス,Red,敗北,0,2,3,9471,9688
13,カスタム,不明,不明,31:07,Yo1111,パンテオン,Red,敗北,2,4,2,7516,9410
13,カスタム,不明,不明,31:07,狐白うる,レネクトン,Red,敗北,1,4,0,15871,10468
13,カスタム,不明,不明,31:07,タケノコの季節だにょっき,タリヤ,Red,敗北,1,4,2,17044,9658
13,カスタム,不明,不明,31:07,生姜ラーメン,ラカン,Red,敗北,1,3,3,4470,7420
14,カスタム,不明,不明,29:43,ramuchi,アッシュ,Blue,勝利,10,1,6,16784,12464
14,カスタム,不明,不明,29:43,タケノコの季節だにょっき,リサンドラ,Blue,勝利,8,2,10,26037,13967
14,カスタム,不明,不明,29:43,Yo1111,ヴィエゴ,Blue,勝利,4,1,10,8625,10628
14,カスタム,不明,不明,29:43,生姜ラーメン,ブラウム,Blue,勝利,0,1,13,6497,7689
14,カスタム,不明,不明,29:43,狐白うる,エイトロックス,Blue,勝利,4,0,9,18475,12333
14,カスタム,不明,不明,29:43,猫きんぐだむ,パンテオン,Red,敗北,1,7,2,5403,8505
14,カスタム,不明,不明,29:43,みみたや,ルシアン,Red,敗北,2,2,2,10916,10165
14,カスタム,不明,不明,29:43,しろまんた,ナミ,Red,敗北,0,8,3,4363,6032
14,カスタム,不明,不明,29:43,Toy Story,モルデカイザー,Red,敗北,1,5,1,12641,8481
14,カスタム,不明,不明,29:43,誕生日は5月5日です,ジグス,Red,敗北,1,3,4,21637,13370 
15,カスタム,不明,,29:01,名誉の人,ヴァルス,Blue,敗北,0,6,0,9097,7690
15,カスタム,不明,,29:01,教祖,レナー・グラスク,Blue,敗北,0,6,2,7298,6143
15,カスタム,不明,,29:01,うたいめいか,レネクトン,Blue,敗北,1,2,0,15822,9514
15,カスタム,不明,,29:01,若干アワーズ,ビクター,Blue,敗北,3,3,1,17491,10232
15,カスタム,不明,,29:01,Lagusa,ジン・ジャオ,Blue,敗北,2,9,0,13444,9547
15,カスタム,不明,,29:01,OwO,カルマ,Red,勝利,6,1,15,17152,9512
15,カスタム,不明,,29:01,kinako,ボリベア,Red,勝利,6,1,14,18649,12245
15,カスタム,不明,,29:01,なぎさっちゅ,ポッピー,Red,勝利,6,1,11,12185,11643
15,カスタム,不明,,29:01,mitiii,グラガス,Red,勝利,4,1,9,23331,10536
15,カスタム,不明,,29:01,野生のアルファ,ゼラス,Red,勝利,4,2,17,30569,10975
16,カスタム,不明,,32:01,名誉の人,トリスターナ,Blue,敗北,3,5,4,16159,12314
16,カスタム,不明,,32:01,Lagusa,リー・シン,Blue,敗北,3,8,6,15785,12760
16,カスタム,不明,,32:01,うたいめいか,サイオン,Blue,敗北,2,5,6,16831,11714
16,カスタム,不明,,32:01,教祖,レネク,Blue,敗北,0,6,6,7941,6968
16,カスタム,不明,,32:01,若干アワーズ,タリヤ,Blue,敗北,3,7,4,22134,9975
16,カスタム,不明,,32:01,kinako,シン・ジャオ,Red,勝利,11,3,11,20136,14393
16,カスタム,不明,,32:01,OwO,アリスター,Red,勝利,2,1,22,7531,9448
16,カスタム,不明,,32:01,なぎさっちゅ,ヴァルス,Red,勝利,9,2,10,23689,14007
16,カスタム,不明,,32:01,mitiii,ケネン,Red,勝利,6,4,10,33962,15149
16,カスタム,不明,,32:01,野生のアルファ,ヌヌ,Red,勝利,3,1,13,23038,12849 
